Date,Open,High,Low,Close,Adj Close,Volume
2019-03-21,36.395000,36.709999,36.389999,36.660000,36.660000,370
2019-03-22,36.610001,36.709999,36.209999,36.125000,36.125000,1612
2019-03-25,36.000000,36.000000,35.619999,35.865002,35.865002,2536
2019-03-26,36.119999,36.349998,36.119999,36.169998,36.169998,1808
2019-03-27,36.264999,36.325001,35.875000,35.895000,35.895000,1294
2019-03-28,36.305000,36.325001,36.195000,36.230000,36.230000,4134
2019-03-29,36.465000,36.599998,36.424999,36.540001,36.540001,1376
2019-04-01,36.715000,36.840000,36.689999,36.840000,36.840000,1197
2019-04-02,37.299999,37.689999,37.299999,37.599998,37.599998,1780
2019-04-03,37.935001,38.174999,37.884998,38.035000,38.035000,2541
2019-04-04,38.035000,38.119999,37.950001,37.820000,37.820000,2108
2019-04-05,37.904999,38.040001,37.834999,37.950001,37.950001,1035
2019-04-08,38.119999,38.160000,37.980000,38.060001,38.060001,1242
2019-04-09,38.000000,38.040001,37.755001,37.695000,37.695000,1411
2019-04-10,37.625000,37.759998,37.625000,37.590000,37.590000,2035
2019-04-11,37.654999,37.654999,37.505001,37.470001,37.470001,1511
2019-04-12,37.145000,37.494999,37.145000,37.299999,37.299999,1173
2019-04-15,37.720001,37.735001,37.584999,37.669998,37.669998,484
2019-04-16,37.665001,37.799999,37.665001,37.730000,37.730000,2606
2019-04-17,38.125000,38.200001,38.125000,38.174999,38.174999,2991
2019-04-18,37.935001,38.099998,37.935001,38.095001,38.095001,1892
2019-04-23,38.285000,38.564999,38.279999,38.555000,38.555000,1678
2019-04-24,38.560001,38.650002,38.459999,38.509998,38.509998,2954
2019-04-25,38.320000,38.560001,38.320000,38.375000,38.375000,235
2019-04-26,38.075001,38.139999,37.919998,37.900002,37.900002,948
2019-04-29,38.200001,38.200001,37.799999,37.875000,37.875000,1122
2019-04-30,37.750000,37.764999,37.630001,37.580002,37.580002,1590
2019-05-02,37.250000,37.380001,37.230000,37.200001,37.200001,686
2019-05-03,37.494999,37.520000,37.494999,37.705002,37.705002,220
2019-05-06,37.424999,38.000000,36.840000,37.325001,37.325001,1093
2019-05-07,37.439999,37.439999,37.009998,37.029999,37.029999,700
2019-05-08,36.799999,36.799999,36.779999,36.855000,36.855000,503
2019-05-09,37.000000,37.000000,35.865002,35.790001,35.790001,2589
2019-05-10,36.549999,36.619999,36.000000,36.090000,36.090000,884
2019-05-13,36.480000,36.480000,36.200001,36.165001,36.165001,1535
2019-05-14,36.334999,36.544998,36.334999,36.549999,36.549999,3024
2019-05-15,36.564999,36.605000,36.349998,36.639999,36.639999,213
2019-05-16,37.439999,37.439999,36.910000,36.990002,36.990002,140
2019-05-17,36.799999,36.799999,36.639999,36.860001,36.860001,109
2019-05-20,36.790001,36.790001,36.349998,36.375000,36.375000,749
2019-05-21,36.450001,36.450001,36.450001,36.549999,36.549999,73
2019-05-22,36.705002,36.855000,36.705002,36.730000,36.730000,754
2019-05-23,37.439999,37.439999,36.150002,35.939999,35.939999,195
2019-05-24,36.349998,36.404999,35.994999,36.049999,36.049999,1416
2019-05-27,36.430000,36.435001,36.430000,36.365002,36.365002,293
2019-05-28,36.560001,36.764999,36.560001,36.674999,36.674999,5291
2019-05-29,36.674999,36.674999,36.084999,36.029999,36.029999,11181
2019-05-30,36.365002,36.375000,36.365002,36.205002,36.205002,238
2019-05-31,35.810001,36.044998,35.639999,35.965000,35.965000,1470
2019-06-03,35.500000,35.775002,35.500000,35.715000,35.715000,49
2019-06-04,34.974998,35.235001,34.974998,35.485001,35.485001,280
2019-06-05,35.770000,35.770000,35.549999,35.674999,35.674999,347
2019-06-06,35.889999,35.889999,35.645000,35.570000,35.570000,40
2019-06-07,35.735001,35.919998,35.735001,35.775002,35.775002,2810
2019-06-10,36.250000,36.480000,36.244999,36.480000,36.480000,428
2019-06-11,36.615002,36.700001,36.540001,36.570000,36.570000,707
2019-06-12,36.365002,36.365002,36.340000,36.259998,36.259998,411
2019-06-13,36.470001,36.470001,36.470001,36.349998,36.349998,2500
2019-06-14,36.430000,36.465000,36.375000,36.439999,36.439999,309
2019-06-17,36.740002,36.744999,36.540001,36.575001,36.575001,1151
2019-06-18,36.400002,37.099998,36.400002,36.959999,36.959999,326
2019-06-19,37.080002,37.080002,37.000000,36.945000,36.945000,950
2019-06-20,37.500000,37.660000,37.490002,37.494999,37.494999,1365
2019-06-21,37.485001,37.485001,37.400002,37.509998,37.509998,2252
2019-06-24,37.459999,37.654999,37.445000,37.490002,37.490002,1134
2019-06-25,38.000000,38.000000,37.365002,37.365002,37.365002,2274
2019-06-26,37.389999,37.610001,37.389999,37.395000,37.395000,980
2019-06-27,37.575001,37.595001,37.355000,37.445000,37.445000,2314
2019-06-28,37.349998,38.049999,37.235001,37.330002,37.330002,8281
2019-07-01,38.009998,38.009998,37.755001,37.720001,37.720001,2483
2019-07-02,37.935001,37.935001,37.669998,37.875000,37.875000,1040
2019-07-03,38.070000,38.224998,38.035000,38.125000,38.125000,5676
2019-07-04,38.395000,38.465000,38.384998,38.490002,38.490002,2709
2019-07-05,38.395000,38.415001,38.244999,38.250000,38.250000,1094
2019-07-08,38.255001,38.369999,38.200001,38.290001,38.290001,2361
2019-07-09,38.205002,38.400002,38.205002,38.314999,38.314999,1530
2019-07-10,38.619999,38.970001,38.564999,38.740002,38.740002,2204
2019-07-11,38.880001,38.900002,38.770000,38.814999,38.814999,3090
2019-07-12,38.740002,38.860001,38.650002,38.830002,38.830002,256
2019-07-15,38.845001,38.990002,38.845001,38.889999,38.889999,958
2019-07-16,38.955002,38.955002,38.790001,38.849998,38.849998,320
2019-07-17,38.500000,38.529999,38.290001,38.395000,38.395000,1921
2019-07-18,38.035000,38.330002,38.000000,38.395000,38.395000,305
2019-07-19,38.759998,38.830002,38.680000,38.730000,38.730000,1099
2019-07-22,38.825001,38.830002,38.785000,38.744999,38.744999,753
2019-07-23,38.820000,39.125000,38.820000,39.044998,39.044998,632
2019-07-24,39.250000,39.250000,39.125000,39.125000,39.125000,2101
2019-07-25,39.555000,39.770000,39.435001,39.334999,39.334999,2267
2019-07-26,39.845001,39.845001,39.520000,39.549999,39.549999,711
2019-07-29,39.395000,39.514999,39.244999,39.330002,39.330002,1582
2019-07-30,39.174999,39.185001,38.959999,39.165001,39.165001,638
2019-07-31,39.130001,39.169998,39.044998,39.099998,39.099998,1118
2019-08-01,39.200001,39.389999,39.154999,39.360001,39.360001,383
2019-08-02,39.400002,39.400002,38.049999,38.084999,38.084999,2589
2019-08-05,37.285000,37.290001,36.680000,36.724998,36.724998,1920
2019-08-06,36.915001,37.080002,36.645000,36.639999,36.639999,847
2019-08-07,36.985001,37.185001,36.639999,36.834999,36.834999,824
2019-08-08,37.310001,37.349998,37.250000,37.445000,37.445000,1000
2019-08-09,37.450001,37.514999,37.384998,37.314999,37.314999,568
2019-08-12,37.599998,37.599998,37.314999,37.235001,37.235001,176
2019-08-13,37.404999,37.665001,37.189999,37.575001,37.575001,458
2019-08-14,37.285000,37.285000,36.549999,36.625000,36.625000,3768
2019-08-16,37.250000,37.250000,37.080002,37.209999,37.209999,627
2019-08-19,37.610001,37.639999,37.610001,37.705002,37.705002,1048
2019-08-20,38.044998,38.044998,37.880001,37.834999,37.834999,125
2019-08-21,37.875000,37.980000,37.840000,37.980000,37.980000,2750
2019-08-22,38.009998,38.049999,37.794998,37.820000,37.820000,183
2019-08-23,37.820000,37.820000,37.820000,37.820000,37.820000,0
2019-08-26,37.299999,37.570000,37.139999,37.224998,37.224998,466
2019-08-27,37.224998,37.224998,37.224998,37.224998,37.224998,0
2019-08-28,37.520000,37.520000,37.349998,37.514999,37.514999,2250
2019-08-29,38.439999,38.439999,37.720001,37.834999,37.834999,95
2019-08-30,38.174999,38.255001,38.169998,38.255001,38.255001,1050
2019-09-02,38.580002,38.660000,38.560001,38.509998,38.509998,183
2019-09-03,38.485001,38.590000,38.459999,38.474998,38.474998,791
2019-09-04,38.805000,38.805000,38.680000,38.779999,38.779999,1371
2019-09-05,39.075001,39.075001,39.020000,39.215000,39.215000,632
2019-09-06,39.195000,39.220001,39.150002,39.244999,39.244999,1383
2019-09-09,39.480000,39.555000,39.459999,39.445000,39.445000,445
2019-09-10,39.330002,39.330002,39.230000,39.244999,39.244999,167
2019-09-11,39.590000,39.715000,39.584999,39.689999,39.689999,767
2019-09-12,39.634998,39.665001,39.490002,39.549999,39.549999,2145
2019-09-13,39.654999,39.814999,39.645000,39.634998,39.634998,2512
2019-09-16,39.400002,39.599998,39.389999,39.575001,39.575001,793
2019-09-17,39.334999,39.349998,39.145000,39.220001,39.220001,1402
2019-09-18,39.584999,39.654999,39.455002,39.430000,39.430000,1060
2019-09-19,39.525002,39.700001,39.445000,39.740002,39.740002,1266
2019-09-20,39.900002,40.119999,39.880001,40.055000,40.055000,916
2019-09-23,39.840000,39.840000,39.560001,39.645000,39.645000,498
2019-09-24,39.794998,39.884998,39.689999,39.689999,39.689999,1570
2019-09-25,39.099998,39.099998,39.009998,39.320000,39.320000,169
2019-09-26,39.830002,39.834999,39.564999,39.575001,39.575001,770
2019-09-27,39.560001,39.570000,39.375000,39.375000,39.375000,346
2019-09-30,39.400002,39.400002,39.220001,39.340000,39.340000,839
2019-10-01,39.564999,39.564999,39.345001,39.160000,39.160000,1040
2019-10-02,38.785000,38.790001,38.244999,38.294998,38.294998,1719
2019-10-03,38.500000,38.575001,38.294998,38.455002,38.455002,723
2019-10-04,38.590000,38.770000,38.590000,38.889999,38.889999,213
2019-10-07,38.889999,38.889999,38.889999,38.889999,38.889999,0
2019-10-08,38.889999,39.200001,38.889999,38.950001,38.950001,544
2019-10-09,39.035000,39.060001,39.000000,39.000000,39.000000,395
2019-10-10,38.814999,38.814999,38.814999,39.215000,39.215000,300
2019-10-11,39.389999,39.400002,39.294998,39.540001,39.540001,191
2019-10-14,39.540001,39.540001,39.430000,39.395000,39.395000,630
2019-10-15,39.494999,39.494999,39.465000,39.660000,39.660000,719
2019-10-16,39.345001,39.470001,39.244999,39.395000,39.395000,1430
2019-10-17,39.200001,39.375000,39.180000,39.145000,39.145000,626
2019-10-18,39.200001,39.200001,38.980000,39.044998,39.044998,1163
2019-10-21,39.500000,39.500000,39.139999,39.299999,39.299999,366
2019-10-22,39.375000,39.435001,39.375000,39.349998,39.349998,160
2019-10-23,39.130001,39.330002,39.130001,39.264999,39.264999,44
2019-10-24,39.205002,39.244999,39.099998,39.369999,39.369999,1482
2019-10-25,39.330002,39.435001,39.299999,39.575001,39.575001,1527
2019-10-28,39.950001,39.950001,39.735001,39.904999,39.904999,784
2019-10-29,39.930000,40.000000,39.900002,39.900002,39.900002,4610
2019-10-30,40.000000,40.000000,39.619999,39.660000,39.660000,1100
2019-10-31,39.610001,39.610001,39.465000,39.480000,39.480000,505
2019-11-01,39.790001,39.825001,39.790001,39.820000,39.820000,1465
2019-11-04,39.825001,40.355000,39.825001,40.305000,40.305000,1622
2019-11-05,40.535000,40.584999,40.445000,40.599998,40.599998,6203
2019-11-06,40.700001,40.700001,40.520000,40.605000,40.605000,496
2019-11-07,41.000000,41.500000,40.965000,41.160000,41.160000,1956
2019-11-08,40.980000,40.980000,40.849998,40.895000,40.895000,1484
2019-11-11,41.099998,41.099998,40.549999,40.650002,40.650002,2055
2019-11-12,40.895000,40.910000,40.849998,40.830002,40.830002,884
2019-11-13,40.900002,40.900002,40.685001,40.849998,40.849998,896
2019-11-14,40.860001,41.134998,40.860001,41.020000,41.020000,502
2019-11-15,41.145000,41.215000,39.505001,41.040001,41.040001,875
2019-11-18,41.650002,41.650002,40.915001,41.000000,41.000000,3311
2019-11-19,41.349998,42.000000,41.139999,41.110001,41.110001,1611
2019-11-20,41.040001,41.255001,41.035000,41.209999,41.209999,1122
2019-11-21,40.845001,41.020000,40.779999,40.935001,40.935001,4317
2019-11-22,41.169998,41.169998,41.084999,41.080002,41.080002,1451
2019-11-25,41.439999,41.595001,41.439999,41.540001,41.540001,1072
2019-11-26,41.509998,41.549999,41.419998,41.459999,41.459999,3744
